BOWLING,OVERS,MAIDEN,WICKETS,ECONOMY,ZEROES,WIDE BALLS,NO BALLS,BOWLING_TEAM
Mohammed Shami,10,0,5,5.4,32,0,0,India
Ravindra Jadeja,10,0,0,4.8,28,0,0,India
Kuldeep Yadav,10,0,2,7.3,25,3,0,India
Trent Boult,10,0,1,6,33,1,0,New-Zealand
Matt Henry,9,0,1,6.11,31,0,0,New-Zealand
Mitchell Santner,10,0,1,3.7,32,0,0,New-Zealand
Lockie Ferguson,8,0,2,7.87,22,2,0,New-Zealand
Rachin Ravindra,9,0,0,5.11,28,1,0,New-Zealand
Glenn Phillips,2,0,0,6,3,0,0,New-Zealand
Naveen-ul-Haq,7,0,2,7.42,22,3,0,Afghanistan
Mujeeb Ur Rahman,8,0,0,6.87,20,0,0,Afghanistan
Mohammad Nabi,10,0,1,3.1,37,0,0,Afghanistan
Azmatullah Omarzai,5,0,1,10,9,3,0,Afghanistan
Rashid Khan,10,0,0,4.1,30,0,0,Afghanistan
Noor Ahmad,10,0,3,4.9,27,4,1,Afghanistan
Shaheen Shah Afridi,10,0,1,5.8,27,2,0,Pakistan
Hasan Ali,10,1,1,4.4,42,1,0,Pakistan
Haris Rauf,8,1,0,6.62,19,3,0,Pakistan
Usama Mir,8,0,0,6.87,19,2,1,Pakistan
Shadab Khan,8,0,0,6.12,22,0,0,Pakistan
Iftikhar Ahmed,5,0,0,5.4,15,0,0,Pakistan
Mustafizur Rahman,9,0,0,8.44,15,2,0,Bangladesh
Mehidy Hasan Miraz,9,0,1,4.88,29,2,0,Bangladesh
Shoriful Islam,9,0,1,8.44,19,0,0,Bangladesh
Shakib Al Hasan,9,0,1,7.66,24,1,0,Bangladesh
Hasan Mahmud,6,0,2,11.16,12,1,0,Bangladesh
Nasum Ahmed,5,0,0,5.4,11,0,0,Bangladesh
Mahmudullah,3,0,0,6.66,7,1,0,Bangladesh
Marco Jansen,8,0,2,4.87,34,5,0,South-Africa
Lizaad Williams,8.4,1,2,6.46,33,5,0,South-Africa
Gerald Coetzee,10,0,3,6.2,36,1,1,South-Africa
Kagiso Rabada,10,1,2,4.2,36,0,1,South-Africa
Keshav Maharaj,10,0,1,3.2,36,1,0,South-Africa
Aryan Dutt,7,0,1,8.42,17,0,0,Netherlands
Colin Ackermann,4,0,0,4.75,10,0,0,Netherlands
Logan van Beek,10,0,4,7.4,31,5,0,Netherlands
Paul van Meekeren,10,0,0,6.4,29,3,0,Netherlands
Vikramjit Singh,4,0,0,6.75,13,1,0,Netherlands
Roelof van der Merwe,5,0,0,8.2,11,1,0,Netherlands
Bas de Leede,10,0,2,11.5,20,1,1,Netherlands
Mitchell Starc,4,0,1,5.5,19,2,0,Australia
Josh Hazlewood,6,0,1,4.5,25,2,0,Australia
Pat Cummins,4,0,1,3.5,16,0,0,Australia
Mitchell Marsh,4,0,2,4.75,15,3,0,Australia
Adam Zampa,3,0,4,2.66,10,0,0,Australia
Dilshan Madushanka,5,0,0,7.4,18,0,0,Sri-Lanka
Kasun Rajitha,7,0,2,5.14,25,1,0,Sri-Lanka
Maheesh Theekshana,8.2,1,1,2.52,36,3,0,Sri-Lanka
Angelo Mathews,5,1,2,2.8,17,0,0,Sri-Lanka
Lahiru Kumara,7,0,3,5,25,0,0,Sri-Lanka
Dhananjaya de Silva,1,0,0,10,2,0,0,Sri-Lanka
Chris Woakes,6,0,0,5,21,2,0,England
David Willey,5,0,2,6,18,1,0,England
Adil Rashid,4.4,0,0,8.35,9,0,0,England
Mark Wood,4,0,0,5.75,12,0,0,England
Liam Livingstone,3,0,0,5.66,8,0,0,England
Moeen Ali,3,0,0,7,5,0,0,England
Marco Jansen,9,1,3,4.77,40,6,2,South-Africa
Lungi Ngidi,7.4,0,1,5.86,26,3,0,South-Africa
Aiden Markram,4,0,0,5,12,0,0,South-Africa
Keshav Maharaj,9,0,0,6.22,30,0,0,South-Africa
Gerald Coetzee,7,0,2,6,20,1,0,South-Africa
Tabraiz Shamsi,10,0,4,6,28,1,2,South-Africa
Iftikhar Ahmed,3,0,0,7.66,9,1,0,Pakistan
Shaheen Shah Afridi,10,0,3,4.5,37,3,0,Pakistan
Mohammad Nawaz,6.2,0,0,6.31,15,0,0,Pakistan
Haris Rauf,10,0,2,6.2,29,2,0,Pakistan
Mohammad Wasim,10,1,2,5,37,3,0,Pakistan
Usama Mir,8,0,2,5.62,25,1,0,Pakistan
Matt Henry,6.2,0,1,10.57,21,2,2,New-Zealand
Trent Boult,10,0,3,7.7,25,3,0,New-Zealand
Lockie Ferguson,3,0,0,12.66,6,0,0,New-Zealand
Mitchell Santner,10,0,2,8,23,1,0,New-Zealand
Glenn Phillips,10,0,3,3.7,30,0,0,New-Zealand
Rachin Ravindra,8,0,0,7,18,0,0,New-Zealand
James Neesham,2,0,1,16,4,0,0,New-Zealand
Mitchell Starc,9,0,0,9.88,21,9,0,Australia
Josh Hazlewood,9,0,2,7.77,24,1,0,Australia
Pat Cummins,10,0,2,6.6,26,3,0,Australia
Glenn Maxwell,10,0,1,6.2,22,0,0,Australia
Adam Zampa,10,0,3,7.4,22,0,0,Australia
Mitchell Marsh,2,0,0,9,3,1,0,Australia
Shoriful Islam,10,0,2,5.1,38,3,0,Bangladesh
Taskin Ahmed,9,1,2,4.77,32,1,0,Bangladesh
Shakib Al Hasan,10,1,1,3.7,35,0,0,Bangladesh
Mehidy Hasan Miraz,4,0,0,4.25,10,0,0,Bangladesh
Mustafizur Rahman,10,1,2,3.6,36,1,0,Bangladesh
Mahedi Hasan,7,0,2,5.71,23,1,0,Bangladesh
Aryan Dutt,10,3,1,2.6,48,0,0,Netherlands
