BATTING,RUNS,FOURS,SIXES,STRICK RATE,BATTING_TEAM
Daryl Mitchell,89,6,4,132.83,New-Zealand
Glenn Phillips,16,1,1,145.45,New-Zealand
Abdullah Shafique,20,3,0,83.33,Pakistan
Imam-ul-Haq,36,6,0,94.73,Pakistan
Babar Azam(c),50,7,0,86.2,Pakistan
Mohammad Rizwan wk ,49,7,0,71.01,Pakistan
Saud Shakeel,6,0,0,60,Pakistan
Iftikhar Ahmed,4,1,0,100,Pakistan
Shadab Khan,2,0,0,40,Pakistan
Mohammad Nawaz,4,0,0,28.57,Pakistan
Hasan Ali,12,2,0,63.15,Pakistan
Shaheen Shah Afridi,2,0,0,20,Pakistan
Haris Rauf,2,0,0,33.33,Pakistan
Rohit Sharma(c),86,6,6,136.5,India
Shubman Gill,16,4,0,145.45,India
Virat Kohli,16,3,0,88.88,India
Shreyas Iyer,53,3,2,85.48,India
KL Rahul wk ,19,2,0,65.51,India
Rahmanullah Gurbaz,80,8,4,140.35,Afghanistan
Ibrahim Zadran,28,3,0,58.33,Afghanistan
Rahmat Shah,3,0,0,37.5,Afghanistan
Hashmatullah Shahidi(c),14,0,0,38.88,Afghanistan
Azmatullah Omarzai,19,1,1,79.16,Afghanistan
Ikram Alikhil wk ,58,3,2,87.87,Afghanistan
Mohammad Nabi,9,1,0,60,Afghanistan
Rashid Khan,23,3,0,104.54,Afghanistan
Mujeeb Ur Rahman,28,3,1,175,Afghanistan
Naveen-ul-Haq,5,1,0,83.33,Afghanistan
Fazalhaq Farooqi,2,0,0,50,Afghanistan
Jonny Bairstow,2,0,0,50,England
Dawid Malan,32,4,0,82.05,England
Joe Root,11,2,0,64.7,England
Harry Brook,66,7,1,108.19,England
Jos Buttler(c) wk ,9,1,0,50,England
Liam Livingstone,10,1,0,71.42,England
Sam Curran,10,0,0,43.47,England
Chris Woakes,9,1,0,34.61,England
Adil Rashid,20,2,0,153.84,England
Mark Wood,18,3,0,81.81,England
Reece Topley,15,3,0,214.28,England
Pathum Nissanka,61,8,0,91.04,Sri-Lanka
Kusal Perera,78,12,0,95.12,Sri-Lanka
Kusal Mendis(c) wk ,9,0,0,69.23,Sri-Lanka
Sadeera Samarawickrama,8,1,0,100,Sri-Lanka
Charith Asalanka,25,0,1,64.1,Sri-Lanka
Dhananjaya de Silva,7,1,0,53.84,Sri-Lanka
Dunith Wellalage,2,0,0,22.22,Sri-Lanka
Chamika Karunaratne,2,0,0,18.18,Sri-Lanka
Maheesh Theekshana,0,0,0,0,Sri-Lanka
Lahiru Kumara,4,1,0,50,Sri-Lanka
Dilshan Madushanka,0,0,0,0,Sri-Lanka
Mitchell Marsh,52,9,0,101.96,Australia
